ambito,cod_localidad,nombre_mapa,localidad,periodo,anio,mes,vigente_snapshot,comprometido_acumulado_anio,girado_acumulado_anio,giro_mes,compromiso_mes
Fondo de Desarrollo Local,4,SAN CRISTOBAL,San Cristóbal,202603,2026,3,240261.742,156559.836,34677.114,10118.419,457.652
Fondo de Desarrollo Local,4,SAN CRISTOBAL,San Cristóbal,202604,2026,4,237233.342,159475.046,44462.841,9785.727,2915.21
Fondo de Desarrollo Local,4,SAN CRISTOBAL,San Cristóbal,202605,2026,5,237233.342,163797.2,57644.642,13181.801,4322.154
Fondo de Desarrollo Local,5,USME,Usme,202401,2024,1,210663.15,72554.916,2095.603,2095.603,72554.916
Fondo de Desarrollo Local,5,USME,Usme,202402,2024,2,210663.15,77708.702,12534.294,10438.691,5153.786
Fondo de Desarrollo Local,5,USME,Usme,202403,2024,3,190474.668,82140.672,18461.501,5927.207,4431.97
Fondo de Desarrollo Local,5,USME,Usme,202404,2024,4,190474.668,87422.153,24249.987,5788.486,5281.482
Fondo de Desarrollo Local,5,USME,Usme,202405,2024,5,190474.668,91274.988,30201.372,5951.384,3852.834
Fondo de Desarrollo Local,5,USME,Usme,202406,2024,6,191785.668,99905.929,38512.798,8311.426,8630.941
Fondo de Desarrollo Local,5,USME,Usme,202407,2024,7,191785.668,121131.773,41476.14,2963.343,21225.844
Fondo de Desarrollo Local,5,USME,Usme,202408,2024,8,191785.668,131076.537,56430.889,14954.748,9944.764
Fondo de Desarrollo Local,5,USME,Usme,202409,2024,9,191785.668,137171.832,65127.96,8697.071,6095.295
Fondo de Desarrollo Local,5,USME,Usme,202410,2024,10,191785.668,141298.877,88592.516,23464.556,4127.045
Fondo de Desarrollo Local,5,USME,Usme,202411,2024,11,191785.668,145924.57,94921.45,6328.934,4625.693
Fondo de Desarrollo Local,5,USME,Usme,202412,2024,12,191785.668,182434.473,103541.01,8619.56,36509.903
Fondo de Desarrollo Local,5,USME,Usme,202501,2025,1,220190.843,79449.185,3602.148,3602.148,79449.185
Fondo de Desarrollo Local,5,USME,Usme,202502,2025,2,220190.843,81479.59,13217.698,9615.549,2030.405
Fondo de Desarrollo Local,5,USME,Usme,202503,2025,3,208554.734,88091.282,15806.53,2588.832,6611.692
Fondo de Desarrollo Local,5,USME,Usme,202504,2025,4,208554.734,96116.758,23803.003,7996.473,8025.475
Fondo de Desarrollo Local,5,USME,Usme,202505,2025,5,208554.734,107176.241,30507.205,6704.202,11059.483
Fondo de Desarrollo Local,5,USME,Usme,202506,2025,6,208554.734,107348.642,44447.629,13940.424,172.401
Fondo de Desarrollo Local,5,USME,Usme,202507,2025,7,208554.734,115071.21,55918.685,11471.056,7722.569
Fondo de Desarrollo Local,5,USME,Usme,202508,2025,8,208554.734,131998.701,72180.369,16261.684,16927.49
Fondo de Desarrollo Local,5,USME,Usme,202509,2025,9,210302.118,143582.655,79809.691,7629.322,11583.954
Fondo de Desarrollo Local,5,USME,Usme,202510,2025,10,210302.118,144813.63,90296.287,10486.595,1230.975
Fondo de Desarrollo Local,5,USME,Usme,202511,2025,11,210302.118,148391.491,98520.022,8223.735,3577.861
Fondo de Desarrollo Local,5,USME,Usme,202512,2025,12,206034.505,202678.53,110374.684,11854.662,54287.039
Fondo de Desarrollo Local,5,USME,Usme,202601,2026,1,231248.05,63243.701,1520.311,1520.311,63243.701
Fondo de Desarrollo Local,5,USME,Usme,202602,2026,2,231248.05,120585.461,7729.567,6209.256,57341.76
Fondo de Desarrollo Local,5,USME,Usme,202603,2026,3,231248.05,120896.668,14698.106,6968.539,311.207
Fondo de Desarrollo Local,5,USME,Usme,202604,2026,4,231248.05,125840.905,24647.335,9949.229,4944.236
Fondo de Desarrollo Local,5,USME,Usme,202605,2026,5,219387.134,126238.49,31274.579,6627.244,397.585
Fondo de Desarrollo Local,6,TUNJUELITO,Tunjuelito,202401,2024,1,90409.656,32585.674,481.482,481.482,32585.674
Fondo de Desarrollo Local,6,TUNJUELITO,Tunjuelito,202402,2024,2,90409.656,34414.163,7119.756,6638.275,1828.489
Fondo de Desarrollo Local,6,TUNJUELITO,Tunjuelito,202403,2024,3,90409.656,37980.777,10870.964,3751.207,3566.614
Fondo de Desarrollo Local,6,TUNJUELITO,Tunjuelito,202404,2024,4,90409.656,41160.996,14533.37,3662.407,3180.219
Fondo de Desarrollo Local,6,TUNJUELITO,Tunjuelito,202405,2024,5,80047.832,41266.443,18551.415,4018.045,105.447
Fondo de Desarrollo Local,6,TUNJUELITO,Tunjuelito,202406,2024,6,83047.832,42246.68,22490.512,3939.097,980.237
