cod_localidad,localidad,anio,mes,ValorVigente,ValorCompromiso,ValorGiros,giro_mes,compromiso_mes
7,Bosa,2025,2,298117.942027,144431.23533300002,15475.244427,13165.883319,8028.387974000012
7,Bosa,2025,3,298117.942027,153152.386197,27777.332824,12302.088397000001,8721.150863999996
7,Bosa,2025,4,298117.942027,158575.373367,34013.271264999996,6235.938440999995,5422.9871699999785
7,Bosa,2025,5,298117.942027,177584.241084,50876.58447,16863.313205000006,19008.867717000016
7,Bosa,2025,6,298117.942027,180231.87540100003,59047.975671,8171.391200999999,2647.634317000018
7,Bosa,2025,7,298117.942027,184610.273055,70063.648929,11015.673258000003,4378.397653999971
7,Bosa,2025,8,298117.942027,204051.860874,83715.959231,13652.310301999998,19441.587819000008
7,Bosa,2025,9,301332.658675,224505.197778,95067.884913,11351.925682000001,20453.336903999996
7,Bosa,2025,10,301332.658675,241729.350003,103099.559512,8031.674599000005,17224.152224999998
7,Bosa,2025,11,301332.658675,264978.284485,116624.51397700001,13524.954465000003,23248.93448200001
7,Bosa,2025,12,296156.146675,294908.13539999997,134776.958547,18152.444569999978,29929.85091499996
7,Bosa,2026,1,333613.098,179847.253556,16434.669632,16434.669632,179847.253556
7,Bosa,2026,2,333613.098,186755.026369,24929.273157,8494.603524999999,6907.772812999989
7,Bosa,2026,3,319395.464853,203595.690207,38756.232346000004,13826.959189000005,16840.663838000008
7,Bosa,2026,4,319395.464853,209618.824823,57435.267035000004,18679.034689,6023.134615999996
7,Bosa,2026,5,319395.464853,207346.159422,70615.437496,13180.170460999994,-2272.6654010000057
8,Kennedy,2024,1,299859.321,65609.747287,9352.79247,9352.79247,65609.747287
8,Kennedy,2024,2,299859.321,112104.730234,16092.566741,6739.774271,46494.982947
8,Kennedy,2024,3,299859.321,113816.164334,24387.158785,8294.592043999999,1711.4340999999986
8,Kennedy,2024,4,299859.321,115821.235716,35088.674923,10701.516137999999,2005.0713819999946
8,Kennedy,2024,5,299489.588684,133888.056145,43060.022093,7971.347170000001,18066.820429000014
8,Kennedy,2024,6,299489.588684,137657.566826,53276.501876,10216.479783000002,3769.510680999985
8,Kennedy,2024,7,301239.588684,143258.472026,57538.026163,4261.524287,5600.905200000008
8,Kennedy,2024,8,301239.588684,202164.28537,70108.622675,12570.596512000004,58905.813343999995
8,Kennedy,2024,9,301239.588684,215994.81814299998,94423.91447599999,24315.291800999985,13830.532772999984
8,Kennedy,2024,10,301239.588684,226308.577495,117031.88105000001,22607.96657400002,10313.759352000023
8,Kennedy,2024,11,301239.588684,236402.36947,127583.720612,10551.839561999994,10093.791975
8,Kennedy,2024,12,301239.588684,287866.5791,143407.370683,15823.650070999982,51464.20962999997
8,Kennedy,2025,1,346048.892,142035.95781599998,9232.592109,9232.592109,142035.95781599998
8,Kennedy,2025,2,346048.892,148240.242516,20653.192274,11420.600165000002,6204.284700000018
8,Kennedy,2025,3,346048.892,161915.17844,35580.243929000004,14927.051655000003,13674.93592399999
8,Kennedy,2025,4,346048.892,168281.61859899998,47894.705773,12314.461843999998,6366.440158999991
8,Kennedy,2025,5,331979.793417,190494.892311,75024.646133,27129.94036,22213.273712000024
8,Kennedy,2025,6,331979.793417,191833.671105,90296.843829,15272.197696000003,1338.7787939999835
8,Kennedy,2025,7,331979.793417,213952.434358,104677.971891,14381.128061999989,22118.763253000012
8,Kennedy,2025,8,331979.793417,245052.629042,137021.730537,32343.758646000002,31100.194683999987
8,Kennedy,2025,9,336502.577229,246438.30977999998,148722.28744000001,11700.556903000019,1385.6807379999955
8,Kennedy,2025,10,336502.577229,307497.513779,159343.35668700002,10621.069247000007,61059.20399899999
8,Kennedy,2025,11,336502.577229,309999.720664,167519.95868,8176.601992999989,2502.2068850000505
8,Kennedy,2025,12,330591.796229,327282.174189,188874.52011100002,21354.56143100001,17282.45352499996
8,Kennedy,2026,1,346239.153,169067.853089,1087.79408,1087.79408,169067.853089
8,Kennedy,2026,2,346239.153,177377.515489,10637.902328,9550.108248,8309.662400000001
8,Kennedy,2026,3,346239.153,177118.276586,17742.955372,7105.053044,-259.2389030000195
8,Kennedy,2026,4,346239.153,185920.97163900002,33271.283876,15528.328504000001,8802.695053000032
8,Kennedy,2026,5,327345.366078,185835.939523,42644.13543,9372.851554,-85.03211600001669
9,Fontibón,2024,1,102882.908,36918.608905,2984.686654,2984.686654,36918.608905
9,Fontibón,2024,2,95085.407905,40929.848905,7420.757037,4436.070383,4011.239999999998
9,Fontibón,2024,3,95085.407905,42515.826905,9152.689028,1731.9319910000004,1585.9780000000028
9,Fontibón,2024,4,95085.407905,45249.620405,13258.597254999999,4105.908226999998,2733.7934999999998
9,Fontibón,2024,5,95085.407905,45953.159405,17771.32213,4512.724875000002,703.538999999997
9,Fontibón,2024,6,95085.407905,46859.175405,22208.466956,4437.144826,906.0160000000033
9,Fontibón,2024,7,96394.407905,54560.096543,26196.548361,3988.081405000001,7700.921137999998
9,Fontibón,2024,8,96394.407905,59810.615394,29190.527837,2993.9794760000004,5250.518851000001
9,Fontibón,2024,9,96644.407905,64924.360594,35393.261837,6202.733999999997,5113.745199999998
9,Fontibón,2024,10,96644.407905,66807.391594,45055.532557,9662.27072,1883.0310000000027
9,Fontibón,2024,11,96644.407905,69684.167927,46188.283362,1132.7508050000033,2876.7763330000016
9,Fontibón,2024,12,96644.407905,92996.711391,50954.665192,4766.381829999998,23312.543464000002
9,Fontibón,2025,1,109311.686,42150.430198999995,1570.784806,1570.784806,42150.430198999995
9,Fontibón,2025,2,109311.686,44765.346864,4585.829468,3015.0446620000002,2614.9166650000043
9,Fontibón,2025,3,109311.686,48626.806864,7330.335144000001,2744.5056760000007,3861.459999999999
9,Fontibón,2025,4,103764.857199,53857.104467000005,9180.356227,1850.0210829999996,5230.297603000006
9,Fontibón,2025,5,103764.857199,59152.592467,11729.579271,2549.2230440000003,5295.487999999998
9,Fontibón,2025,6,103764.857199,63573.560001,18394.237109,6664.657838000001,4420.967533999996
9,Fontibón,2025,7,103764.857199,66718.333885,22786.741518,4392.504408999997,3144.773884000002
9,Fontibón,2025,8,103764.857199,73946.040054,34863.703737,12076.962219000005,7227.706168999997
9,Fontibón,2025,9,103764.857199,75685.229311,37954.138154,3090.4344169999968,1739.1892570000055
9,Fontibón,2025,10,105805.398487,82070.434877,44274.885969,6320.747815000002,6385.205566000004
9,Fontibón,2025,11,105805.398487,84844.25347,49103.198703,4828.312733999999,2773.818592999989
9,Fontibón,2025,12,103773.204487,102826.976178,53207.387542,4104.188838999995,17982.722708
9,Fontibón,2026,1,118564.456,59616.447336,1948.1583170000001,1948.1583170000001,59616.447336
9,Fontibón,2026,2,118564.456,68013.10617900001,4673.304776999999,2725.146459999999,8396.658843000012
9,Fontibón,2026,3,118564.456,68004.33717900001,9426.213141,4752.908364000001,-8.769000000000233
9,Fontibón,2026,4,111311.732636,67761.552142,16138.102966,6711.889825,-242.78503700000874
9,Fontibón,2026,5,111311.732636,67960.452393,21272.567006,5134.464040000001,198.90025099999912
10,Engativá,2024,1,174202.618,54486.810349,6200.142062,6200.142062,54486.810349
10,Engativá,2024,2,157883.35154899998,55329.404146999994,14017.618386,7817.476324,842.5937979999944
10,Engativá,2024,3,157883.35154899998,61098.979947,22247.260597,8229.642211,5769.575800000006
10,Engativá,2024,4,157883.35154899998,64276.161609999996,27589.226622000002,5341.9660250000015,3177.1816629999958
10,Engativá,2024,5,157883.35154899998,67009.204292,35980.634773,8391.408150999996,2733.0426819999993
10,Engativá,2024,6,157883.35154899998,92561.972774,41782.087152,5801.452379000002,25552.768482
10,Engativá,2024,7,157883.35154899998,100763.525612,45850.265494,4068.1783419999992,8201.552838000003
10,Engativá,2024,8,157883.35154899998,102349.901312,56409.972827,10559.707332999998,1586.3757000000041
10,Engativá,2024,9,157883.35154899998,113060.53822999999,66547.206012,10137.233184999997,10710.63691799999
10,Engativá,2024,10,157883.35154899998,117311.30456599999,74318.874412,7771.66840000001,4250.766336000001
10,Engativá,2024,11,157883.35154899998,123256.477787,79269.01689700001,4950.142485000004,5945.173221000005
10,Engativá,2024,12,157883.35154899998,157449.898344,87026.253201,7757.236303999991,34193.42055699999
10,Engativá,2025,1,197355.059,70918.816743,4222.213176,4222.213176,70918.816743
10,Engativá,2025,2,197355.059,79037.094243,13384.426033,9162.212856999999,8118.2774999999965
10,Engativá,2025,3,184692.558143,88936.426943,19061.458619,5677.032586000001,9899.332699999999
10,Engativá,2025,4,184692.558143,93498.844649,23219.02503,4157.566411,4562.4177060000075
10,Engativá,2025,5,184692.558143,102324.483749,31364.619361,8145.594331,8825.6391
10,Engativá,2025,6,184692.558143,103215.817286,41591.179134,10226.559772999997,891.3335369999986
10,Engativá,2025,7,184692.558143,117859.81540600001,51763.70599,10172.526856000004,14643.998120000004
10,Engativá,2025,8,184692.558143,124063.090561,66131.883948,14368.177958,6203.275154999996
10,Engativá,2025,9,187953.660062,126076.470201,73693.732477,7561.848528999995,2013.3796399999992
10,Engativá,2025,10,187953.660062,148388.654936,83684.496747,9990.76427,22312.184735000003
10,Engativá,2025,11,187953.660062,153780.306804,93119.04405499999,9434.547307999994,5391.651867999986
10,Engativá,2025,12,184284.099062,184278.957266,125283.80442,32164.76036500001,30498.65046200002
10,Engativá,2026,1,195367.448,99517.088175,19834.123919999998,19834.123919999998,99517.088175
10,Engativá,2026,2,195367.448,99571.020111,22590.533272,2756.4093520000024,53.931936000008136
10,Engativá,2026,3,169437.091846,100350.183246,30014.860633,7424.327361,779.1631349999952
10,Engativá,2026,4,169437.091846,100392.154246,39238.826930999996,9223.966297999996,41.971000000005006
10,Engativá,2026,5,169437.091846,100535.58123400001,45582.00502,6343.178089000001,143.42698800000653
11,Suba,2024,1,249144.445,72871.430909,7160.719727,7160.719727,72871.430909
11,Suba,2024,2,223490.857782,71150.894118,14791.692468,7630.972741,-1720.536791000006
11,Suba,2024,3,223490.857782,76034.342541,20371.393123,5579.700655000002,4883.448423000009
11,Suba,2024,4,223490.857782,77053.583019,25981.144745,5609.751622,1019.2404779999924
11,Suba,2024,5,223490.857782,78965.833667,31674.917453000002,5693.772708,1912.250648000001
11,Suba,2024,6,223490.857782,81018.259937,35004.704804,3329.787350999999,2052.4262699999963
11,Suba,2024,7,223490.857782,87717.425282,40635.170076,5630.465272000001,6699.165345000001
11,Suba,2024,8,226740.857782,89025.407686,44854.073097,4218.903020999998,1307.9824040000094
11,Suba,2024,9,226740.857782,116369.821156,63437.259487999996,18583.186390999996,27344.41347
11,Suba,2024,10,226740.857782,119804.561638,80978.543082,17541.283594000008,3434.740481999994
11,Suba,2024,11,226740.857782,133811.390292,86908.598643,5930.055561000001,14006.828653999997
11,Suba,2024,12,226740.857782,203995.400898,91831.698986,4923.100342999998,70184.010606
11,Suba,2025,1,305190.924,111280.650379,9298.606683,9298.606683,111280.650379
11,Suba,2025,2,305190.924,122998.548704,16640.224923,7341.618240000002,11717.898325000002
11,Suba,2025,3,305190.924,134997.551504,23312.212008,6671.987084999997,11999.002800000002
11,Suba,2025,4,305190.924,138714.392338,28319.911959999998,5007.699951999999,3716.8408340000024
11,Suba,2025,5,271591.443912,143371.111007,33331.554086000004,5011.642126000006,4656.718668999994
11,Suba,2025,6,275784.843769,144287.042295,40362.419126,7030.865039999997,915.9312879999925
11,Suba,2025,7,275784.843769,180010.770183,64467.085296,24104.666169999997,35723.727887999994
11,Suba,2025,8,275784.843769,194531.81554,84725.807457,20258.722161000005,14521.045357000025
11,Suba,2025,9,280094.97508400003,210975.06883899999,100474.264542,15748.457085000002,16443.253298999975
11,Suba,2025,10,280094.97508400003,235423.305897,112028.50384700001,11554.23930500001,24448.237058000028
11,Suba,2025,11,280094.97508400003,245014.752318,121810.563324,9782.059476999988,9591.446421
11,Suba,2025,12,274906.424084,272900.737535,143572.771708,21762.208383999983,27885.98521700001
11,Suba,2026,1,318429.773,159209.865727,3374.394256,3374.394256,159209.865727
11,Suba,2026,2,318429.773,160723.853168,20529.510255,17155.115999,1513.9874410000048
11,Suba,2026,3,286621.569827,161768.585621,31405.399696,10875.889441,1044.7324530000042
11,Suba,2026,4,286621.569827,161973.960413,41468.289023,10062.889326999997,205.3747919999878
11,Suba,2026,5,286621.569827,166145.923462,54291.235674999996,12822.946651999999,4171.963049000013
12,Barrios Unidos,2024,1,65741.78199999999,19638.939838,1132.4456,1132.4456,19638.939838
12,Barrios Unidos,2024,2,65741.78199999999,20066.199662,3223.2395429999997,2090.7939429999997,427.25982400000066
12,Barrios Unidos,2024,3,61718.150816,21452.121814,4488.120868,1264.8813250000003,1385.9221519999992
12,Barrios Unidos,2024,4,61718.150816,22547.869983,8131.980996,3643.8601280000003,1095.7481690000022
12,Barrios Unidos,2024,5,61718.150816,29021.107844,10355.003056,2223.0220599999993,6473.237860999998
12,Barrios Unidos,2024,6,61718.150816,29244.405145,12295.302239999999,1940.2991839999995,223.29730100000234
