CodigoProyecto,entidad,proyecto,actividades,programado_mm,avance_fisico,avance_financiero,actividades_en_cero,brecha_vs_tiempo,CodigoBPIN,mes_ponderado,pct_valor_Q4,n_contratos,grupo
7947,Secretaría Distrital de Integración Social,FORTALECIMIENTO DE LA GESTIÓN TERRITORIAL PARA LA PROMOCIÓ,2,28755.84,19.780687608365582,18.3813792259242,0,-23.91794252862072,2024110010049,3.7542783746366015,13.289831291724976,356.0,<25% en Q4
7948,Secretaría Distrital de Integración Social,DESARROLLO DEL ABORDAJE INTEGRAL DEL FENÓMENO DE HABITABIL,2,258450.78,20.431545476427253,20.75544519540626,0,-23.26708466055905,2024110010057,8.527737888560349,70.15007859649532,843.0,50-75%
7949,Secretaría de Educación del Distrito,MODERNIZACIÓN Y FORTALECIMIENTO DE LOS SISTEMAS DE INFORMA,1,82835.94,27.272727272727277,20.238739368443213,0,-16.42590286425903,2024110010062,5.706255981843238,37.62218832859632,236.0,25-50%
7950,Instituto para la Economía Social,FORTALECIMIENTO DE LA RUTA DE FORMACIÓN INTEGRAL Y ORIENTA,2,3438.43,24.69355490732689,23.901024595527613,0,-19.00507522965941,2024110010024,4.714410143754576,14.206266620418546,43.0,<25% en Q4
7951,Instituto Distrital de Protección y Bienestar Animal,MEJORAMIENTO DE LA GESTIÓN PÚBLICA Y ADMINISTRATIVA DEL IN,10,47319.41,18.395543205209027,15.594171609493864,1,-25.30308693177728,2024110010061,6.11684375847866,5.826387136087412,152.0,<25% en Q4
7953,Secretaría Distrital de Integración Social,GENERACIÓN DEL BIEN-ESTAR ALIMENTARIO Y NUTRICIONAL EN BOG,2,420621.23,29.465304185911823,20.11838299269868,0,-14.233325951074477,2024110010071,7.285253093248891,32.00479529767297,652.0,25-50%
7954,Instituto para la Economía Social,MANTENIMIENTO PARA FORTALECER LA INFRAESTRUCTURA A TRAVÉS ,2,36863.31,20.68361285245411,6.513820923839992,0,-23.015017284532192,2024110010028,2.632026090742864,14.284793636831292,29.0,<25% en Q4
7955,Secretaría Distrital de Integración Social,GENERACIÓN DE LA INFORMACIÓN  GESTIÓN DEL CONOCIMIENTO Y L,4,222891.44,13.582096699930096,11.374241200110692,0,-30.116533437056205,2024110010073,6.0739347501615,17.221976308247044,414.0,<25% en Q4
7956,Instituto para la Economía Social,ADMINISTRACIÓN Y FORTALECIMIENTO DE LAS PLAZAS DISTRITALES,3,6788.33,21.50917235903381,15.729347276870747,0,-22.18945777795249,2024110010033,6.591088128854267,29.13202724867918,145.0,25-50%
7957,"Secretaría Distrital de Cultura, Recreación y Deporte",FORTALECIMIENTO DE PRÁCTICAS Y TRANSFORMACIONES CULTURALES,3,48861.92,26.24623825426011,20.93693821282504,0,-17.452391882726193,2024110010080,5.02669272243601,6.360738117966807,105.0,<25% en Q4
