cod_localidad,localidad,anio,mes_corte,vigente,comprometido,girado,giro_mes,compromiso_mes,giro_diciembre,giro_q4,pct_comprometido,pct_girado,pct_girado_de_comprometido,concentracion_diciembre,concentracion_q4,anio_completo
14,Los Mártires,2025,12,75153.313003,75106.784363,40278.143211,5538.160243000006,5318.550610000006,5538.160243000006,9604.105489000001,99.93808837143594,53.59463422376624,53.627836090453506,13.74979033662984,23.844459360224704,True
14,Los Mártires,2026,5,73866.139152,48893.592987,15681.507843,3041.7220959999995,280.57865600000514,,,66.19215996437545,21.22962973701788,32.07272545335225,,,False
15,Antonio Nariño,2024,12,49343.608514,48030.246732,28558.359938,2982.141383000002,7627.163247999997,2982.141383000002,9338.261715,97.33833454513696,57.876512881900986,59.45911562218373,10.442271157987399,32.69887253775532,True
15,Antonio Nariño,2025,12,55825.831585,53757.851357,31889.439539,1527.0306490000003,13954.000239,1527.0306490000003,7135.576197999999,96.29565710122685,57.123089139201404,59.32052478665066,4.788515167011573,22.37598496917252,True
15,Antonio Nariño,2026,5,57097.331818,32743.912511000002,9279.070097999998,2256.0010789999988,179.2511960000047,,,57.34753528478794,16.251319987381198,28.3383059213916,,,False
16,Puente Aranda,2024,12,79989.354098,79054.54857300001,50292.119963,5680.328116999997,17968.212224000003,5680.328116999997,13285.283358,98.83133757542947,62.87351676997411,63.616984564220985,11.294668272443127,26.416232538564703,True
16,Puente Aranda,2025,12,88809.508321,88715.215822,57251.340623000004,11888.072246000003,11489.755394000007,11888.072246000003,20869.378763000008,99.89382612201929,64.46532776205257,64.53384584880034,20.764705449053046,36.45220974024842,True
16,Puente Aranda,2026,5,90815.779199,60098.846031,24070.540694,2365.9255010000015,1003.3204479999986,,,66.17665626070163,26.50480005380502,40.05158548565809,,,False
17,La Candelaria,2024,12,38718.31305,37778.585429,21209.888957,1327.6605659999987,6270.507915999999,1327.6605659999987,10265.762363999998,97.57291176455324,54.77999242789841,56.1426234363943,6.259629971149965,48.40083031463463,True
17,La Candelaria,2025,12,53773.685287,53326.245848,30916.323103000002,3067.292013000002,5726.2064829999945,3067.292013000002,7989.341772000003,99.16792119302977,57.49340581363157,57.97581024383984,9.921270400691224,25.841823897954892,True
17,La Candelaria,2026,5,52525.354745,30676.204001000002,9504.887318,2061.2042059999994,-296.9772249999951,,,58.40265934409541,18.09580794674174,30.98456157642632,,,False
18,Rafael Uribe Uribe,2024,12,172408.223062,163813.553916,71626.922642,13013.615891000009,52929.21430200001,13013.615891000009,33966.825727,95.01493084647751,41.54495729373774,43.72466192799206,18.168609526956267,47.421869422996565,True
18,Rafael Uribe Uribe,2025,12,209227.897439,208778.461593,128695.916449,15190.317825999999,34311.79431300002,15190.317825999999,39379.226813999994,99.78519315468866,61.50992196751442,61.642333920385084,11.803263262062913,30.59866070389678,True
18,Rafael Uribe Uribe,2026,5,192561.575144,107575.36908,25112.643137,5196.451215000001,396.5997650000063,,,55.865438886005045,13.04135735191221,23.34423144607072,,,False
19,Ciudad Bolívar,2024,12,313451.82846600004,311836.051065,157160.11630999998,13416.13154099998,57486.460219,13416.13154099998,27839.31276999999,99.48452130303164,50.13852274498602,50.39831532411276,8.536600669432262,17.713980762833398,True
19,Ciudad Bolívar,2025,12,360234.604791,357657.103901,196333.768063,16954.873658999975,25071.981744999997,16954.873658999975,44058.295216,99.28449381161052,54.501640167775776,54.894413090518526,8.635739957662025,22.440508146241292,True
19,Ciudad Bolívar,2026,5,369030.115838,215850.97098500002,81271.644506,16867.081436999993,-49.2259399999748,,,58.49142433669454,22.02303850498676,37.65173913053546,,,False
